0.130000 -329.384613 -399.962891 -329 -202937
0.131000 -312.987671 -395.162384 -312 -200449
0.132000 -296.017456 -389.637756 -296 -197599
0.133000 -278.505096 -383.399139 -278 -194395
0.134000 -260.482605 -376.458008 -260 -190827
0.135000 -241.983032 -368.827057 -241 -186901
0.136000 -223.040253 -360.520294 -223 -182640
0.137000 -203.688950 -351.552979 -203 -178048
0.138000 -183.964584 -341.941498 -183 -173114
0.139000 -163.903275 -331.703522 -163 -167860
0.140000 -143.541763 -320.857788 -143 -162305
0.141000 -122.917351 -309.424164 -122 -156453
0.142000 -102.067802 -297.423615 -102 -150322
0.143000 -81.031311 -284.878143 -81 -143929
0.144000 -59.846409 -271.810730 -59 -137259
0.145000 -38.551891 -258.245331 -38 -130329
0.146000 -17.186762 -244.206787 -17 -123170
0.147000 4.209845 -229.720825 4 -115797
0.148000 25.598742 -214.813980 25 -108222
0.149000 46.940754 -199.513565 46 -100458
0.150000 68.196785 -183.847610 68 -92501
0.151000 89.327919 -167.844818 89 -84364
0.152000 110.295433 -151.534500 110 -76072
0.153000 131.060944 -134.946548 131 -67635
0.154000 151.586395 -118.111343 151 -59078
0.155000 171.834213 -101.059723 171 -50424
0.156000 191.767303 -83.822929 191 -41678
0.157000 211.349167 -66.432533 211 -32846
0.158000 230.543915 -48.920391 230 -23950
0.159000 249.316422 -31.318583 249 -15009
0.160000 267.632263 -13.659351 267 -6041
0.161000 285.457947 4.024956 285 2937
0.162000 302.760773 21.701944 302 11909
0.163000 319.509094 39.339237 319 20859
0.164000 335.672211 56.904526 335 29772
0.165000 351.220520 74.365631 351 38636
0.166000 366.125519 91.690575 366 47438
0.167000 380.359955 108.847618 380 56151
0.168000 393.897736 125.805336 393 64749
0.169000 406.714050 142.532669 406 73224
0.170000 418.785461 158.998978 418 81568
0.171000 430.089844 175.174103 430 89772
0.172000 440.606476 191.028412 440 97814
0.173000 450.316101 206.532867 450 105674
0.174000 459.200928 221.659073 459 113346
0.175000 467.244720 236.379318 467 120811
0.176000 474.432739 250.666641 474 128051
0.177000 480.751770 264.494873 480 135048
0.178000 486.190277 277.838684 486 141802
0.179000 490.738312 290.673615 490 148295
0.180000 494.387512 302.976196 494 154514
0.181000 497.131195 314.723877 497 160460
0.182000 498.964386 325.895111 498 166102
0.183000 499.883636 336.469482 499 171428
